Count,Name,Card Number,Edition,Language
,Witchcraft,45,Jumpstart Front Cards,English
1,Witch of the Moors,18,Jumpstart,English
1,Thriving Moor,37,Jumpstart,English
1,Swamp,59,Jumpstart,English
1,Bake into a Pie,201,Jumpstart,English
1,Bloodhunter Bat,210,Jumpstart,English
1,Bogbrew Witch,211,Jumpstart,English
1,Cauldron Familiar,216,Jumpstart,English
2,Festering Newt,234,Jumpstart,English
1,Malakir Familiar,253,Jumpstart,English
1,Tempting Witch,283,Jumpstart,English
1,Bubbling Cauldron,460,Jumpstart,English
1,Finishing Blow,99,Core Set 2021,English
1,Witch's Cauldron,129,Core Set 2021,English
6,Swamp,,Core Set 2021,English
