Count,Name,Foil,Card Number,Edition,Condition,Language
2,Metallic Sliver,foil,1,Premium Deck Series: Slivers,Near Mint,English
2,Virulent Sliver,foil,2,Premium Deck Series: Slivers,Near Mint,English
1,Amoeboid Changeling,foil,3,Premium Deck Series: Slivers,Near Mint,English
1,Winged Sliver,foil,4,Premium Deck Series: Slivers,Near Mint,English
1,Clot Sliver,foil,5,Premium Deck Series: Slivers,Near Mint,English
1,Frenzy Sliver,foil,6,Premium Deck Series: Slivers,Near Mint,English
1,Heart Sliver,foil,7,Premium Deck Series: Slivers,Near Mint,English
2,Gemhide Sliver,foil,8,Premium Deck Series: Slivers,Near Mint,English
2,Muscle Sliver,foil,9,Premium Deck Series: Slivers,Near Mint,English
1,Quick Sliver,foil,10,Premium Deck Series: Slivers,Near Mint,English
1,Crystalline Sliver,foil,11,Premium Deck Series: Slivers,Near Mint,English
1,Hibernation Sliver,foil,12,Premium Deck Series: Slivers,Near Mint,English
1,Acidic Sliver,foil,13,Premium Deck Series: Slivers,Near Mint,English
1,Spined Sliver,foil,14,Premium Deck Series: Slivers,Near Mint,English
1,Victual Sliver,foil,15,Premium Deck Series: Slivers,Near Mint,English
1,Armor Sliver,foil,16,Premium Deck Series: Slivers,Near Mint,English
2,Spectral Sliver,foil,17,Premium Deck Series: Slivers,Near Mint,English
1,Barbed Sliver,foil,18,Premium Deck Series: Slivers,Near Mint,English
1,Homing Sliver,foil,19,Premium Deck Series: Slivers,Near Mint,English
1,Necrotic Sliver,foil,20,Premium Deck Series: Slivers,Near Mint,English
1,Fungus Sliver,foil,21,Premium Deck Series: Slivers,Near Mint,English
1,Brood Sliver,foil,22,Premium Deck Series: Slivers,Near Mint,English
1,Might Sliver,foil,23,Premium Deck Series: Slivers,Near Mint,English
1,Sliver Overlord,foil,24,Premium Deck Series: Slivers,Near Mint,English
1,Fury Sliver,foil,25,Premium Deck Series: Slivers,Near Mint,English
1,Heartstone,foil,26,Premium Deck Series: Slivers,Near Mint,English
1,Distant Melody,foil,27,Premium Deck Series: Slivers,Near Mint,English
1,Aphetto Dredging,foil,28,Premium Deck Series: Slivers,Near Mint,English
1,Coat of Arms,foil,29,Premium Deck Series: Slivers,Near Mint,English
1,Wild Pair,foil,30,Premium Deck Series: Slivers,Near Mint,English
2,Ancient Ziggurat,foil,31,Premium Deck Series: Slivers,Near Mint,English
1,Rootbound Crag,foil,32,Premium Deck Series: Slivers,Near Mint,English
2,Rupture Spire,foil,33,Premium Deck Series: Slivers,Near Mint,English
2,Terramorphic Expanse,foil,34,Premium Deck Series: Slivers,Near Mint,English
2,Vivid Creek,foil,35,Premium Deck Series: Slivers,Near Mint,English
2,Vivid Grove,foil,36,Premium Deck Series: Slivers,Near Mint,English
2,Plains,foil,37,Premium Deck Series: Slivers,Near Mint,English
2,Island,foil,38,Premium Deck Series: Slivers,Near Mint,English
2,Swamp,foil,39,Premium Deck Series: Slivers,Near Mint,English
3,Mountain,foil,40,Premium Deck Series: Slivers,Near Mint,English
5,Forest,foil,41,Premium Deck Series: Slivers,Near Mint,English
