Count,Name,Card Number,Edition,Language
,Dogs,11,Jumpstart Front Cards,English
1,Release the Dogs,4,Jumpstart,English
1,Supply Runners,7,Jumpstart,English
1,Trusty Retriever,8,Jumpstart,English
1,Thriving Heath,35,Jumpstart,English
1,Plains,45,Jumpstart,English
1,Affa Guard Hound,81,Jumpstart,English
1,Cathar's Companion,94,Jumpstart,English
1,Pacifism,125,Jumpstart,English
1,Alpine Watchdog,2,Core Set 2021,English
1,Feat of Resistance,19,Core Set 2021,English
1,Pack Leader,29,Core Set 2021,English
1,Rambunctious Mutt,30,Core Set 2021,English
1,Secure the Scene,35,Core Set 2021,English
1,Selfless Savior,36,Core Set 2021,English
6,Plains,,Core Set 2021,English
