Count,Name,Card Number,Edition,Language
,Angels,2,Jumpstart Front Cards,English
1,Thriving Heath,35,Jumpstart,English
1,Plains,40,Jumpstart,English
1,Angelic Edict,87,Jumpstart,English
1,Angelic Page,88,Jumpstart,English
1,Emancipation Angel,102,Jumpstart,English
1,Serra Angel,132,Jumpstart,English
1,Voice of the Provinces,137,Jumpstart,English
1,Guardian Idol,467,Jumpstart,English
1,Scroll of Avacyn,483,Jumpstart,English
1,Angelic Ascension,3,Core Set 2021,English
1,Anointed Chorister,4,Core Set 2021,English
1,Baneslayer Angel,6,Core Set 2021,English
1,Celestial Enforcer,11,Core Set 2021,English
1,Feat of Resistance,19,Core Set 2021,English
6,Plains,,Core Set 2021,English
