Count,Name,Card Number,Edition,Language
,Dragons,12,Jumpstart Front Cards,English
1,Thriving Bluff,33,Jumpstart,English
1,Mountain,62,Jumpstart,English
1,Draconic Roar,308,Jumpstart,English
1,Dragon Fodder,309,Jumpstart,English
1,Dragon Hatchling,310,Jumpstart,English
1,Dragonlord's Servant,311,Jumpstart,English
1,Furnace Whelp,323,Jumpstart,English
1,"Lathliss, Dragon Queen",340,Jumpstart,English
1,Lightning Shrieker,345,Jumpstart,English
1,Rapacious Dragon,358,Jumpstart,English
1,Sarkhan's Rage,360,Jumpstart,English
1,"Gadrak, the Crown-Scourge",146,Core Set 2021,English
1,Hellkite Punisher,151,Core Set 2021,English
7,Mountain,,Core Set 2021,English
