Count,Tradelist Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,My Price
2,0,Boneshard Slasher,Torment,50,Near Mint,English,,,,,,,,
2,0,Carrion Rats,Torment,54,Near Mint,English,,,,,,,,
1,0,Grotesque Hybrid,Torment,63,Near Mint,English,,,,,,,,
3,0,Putrid Imp,Torment,77,Near Mint,English,,,,,,,,
2,0,Strength of Lunacy,Torment,86,Near Mint,English,,,,,,,,
2,0,Waste Away,Torment,88,Near Mint,English,,,,,,,,
2,0,Acorn Harvest,Torment,118,Near Mint,English,,,,,,,,
1,0,Anurid Scavenger,Torment,119,Near Mint,English,,,,,,,,
2,0,Arrogant Wurm,Torment,120,Near Mint,English,,,,,,,,
3,0,Basking Rootwalla,Torment,121,Near Mint,English,,,,,,,,
2,0,Centaur Veteran,Torment,123,Near Mint,English,,,,,,,,
2,0,Krosan Constrictor,Torment,129,Near Mint,English,,,,,,,,
1,0,Nantuko Blightcutter,Torment,131,Near Mint,English,,,,,,,,
1,0,Nantuko Cultivator,Torment,133,Near Mint,English,,,,,,,,
1,0,Narcissism,Torment,134,Near Mint,English,,,,,,,,
2,0,Tainted Wood,Torment,143,Near Mint,English,,,,,,,,
2,0,Krosan Archer,Odyssey,246,Near Mint,English,,,,,,,,
2,0,Muscle Burst,Odyssey,252,Near Mint,English,,,,,,,,
2,0,Sylvan Might,Odyssey,277,Near Mint,English,,,,,,,,
3,0,Wild Mongrel,Odyssey,283,Near Mint,English,,,,,,,,
12,0,Swamp,Odyssey,341,Near Mint,English,,,,,,,,
10,0,Forest,Odyssey,349,Near Mint,English,,,,,,,,




