Count,Name,Card Number,Edition,Language
,Reanimated,31,Jumpstart Front Cards,English
1,Thriving Moor,37,Jumpstart,English
1,Swamp,56,Jumpstart,English
1,Crow of Dark Tidings,221,Jumpstart,English
1,Funeral Rites,235,Jumpstart,English
1,Miasmic Mummy,256,Jumpstart,English
1,Mire Triton,257,Jumpstart,English
1,Rise of the Dark Realms,271,Jumpstart,English
1,Soul Salvage,280,Jumpstart,English
1,Carrion Grub,92,Core Set 2021,English
1,Crypt Lurker,93,Core Set 2021,English
1,Eliminate,97,Core Set 2021,English
1,Gloom Sower,100,Core Set 2021,English
1,Goremand,101,Core Set 2021,English
1,Rise Again,119,Core Set 2021,English
6,Swamp,,Core Set 2021,English
