Count,Name,Card Number,Edition,Language
1,Well-Read,44,Jumpstart Front Cards,English
1,Thriving Isle,36,Jumpstart,English
1,Island,53,Jumpstart,English
1,Cloudreader Sphinx,143,Jumpstart,English
1,Curiosity,147,Jumpstart,English
1,Mystic Archaeologist,158,Jumpstart,English
1,Oneirophage,162,Jumpstart,English
1,Read the Runes,167,Jumpstart,English
1,Runed Servitor,481,Jumpstart,English
1,Suspicious Bookcase,487,Jumpstart,English
1,Capture Sphere,47,Core Set 2021,English
1,Library Larcenist,55,Core Set 2021,English
1,Opt,59,Core Set 2021,English
1,Tolarian Kraken,80,Core Set 2021,English
1,Tome Anima,81,Core Set 2021,English
6,Island,,Core Set 2021,English
