Count,Name,Card Number,Edition,Language
1,Lands,19,Jumpstart Front Cards,English
1,Thriving Grove,34,Jumpstart,English
1,Forest,71,Jumpstart,English
1,Awakener Druid,379,Jumpstart,English
1,Crushing Canopy,386,Jumpstart,English
1,Elemental Uprising,390,Jumpstart,English
1,Fa'adiyah Seer,394,Jumpstart,English
1,Feral Hydra,395,Jumpstart,English
1,Fertilid,398,Jumpstart,English
1,Sylvan Ranger,435,Jumpstart,English
1,Ulvenwald Hydra,439,Jumpstart,English
1,Vastwood Zendikon,440,Jumpstart,English
1,Wildheart Invoker,444,Jumpstart,English
1,Zendikar's Roil,448,Jumpstart,English
1,Cultivate,177,Core Set 2021,English
6,Forest,,Core Set 2021,English
