Count,Name,Card Number,Edition,Language
1,Spirits,36,Jumpstart Front Cards,English
1,Thriving Isle,36,Jumpstart,English
1,Island,51,Jumpstart,English
1,Battleground Geist,139,Jumpstart,English
1,Befuddle,140,Jumpstart,English
1,Departed Deckhand,149,Jumpstart,English
1,Essence Flux,151,Jumpstart,English
1,Murmuring Phantasm,157,Jumpstart,English
1,Nebelgast Herald,160,Jumpstart,English
1,Winged Words,196,Jumpstart,English
1,Capture Sphere,47,Core Set 2021,English
1,Frost Breath,51,Core Set 2021,English
1,Roaming Ghostlight,65,Core Set 2021,English
1,Shacklegeist,70,Core Set 2021,English
1,Tome Anima,81,Core Set 2021,English
6,Island,,Core Set 2021,English
