Count,Name,Card Number,Edition,Language
,Above the Clouds,1,Jumpstart Front Cards,English
1,Thriving Isle,36,Jumpstart,English
1,Island,48,Jumpstart,English
1,Warden of Evos Isle,191,Jumpstart,English
1,Windreader Sphinx,194,Jumpstart,English
1,Capture Sphere,47,Core Set 2021,English
1,Frost Breath,51,Core Set 2021,English
1,Keen Glidemaster,54,Core Set 2021,English
1,Lofty Denial,56,Core Set 2021,English
1,Rain of Revelation,61,Core Set 2021,English
1,Roaming Ghostlight,65,Core Set 2021,English
1,Tide Skimmer,79,Core Set 2021,English
1,Unsubstantiate,82,Core Set 2021,English
1,Wall of Runes,85,Core Set 2021,English
7,Island,,Core Set 2021,English
