Count,Name,Card Number,Edition,Language
1,Legion,20,Jumpstart Front Cards,English
1,Thriving Heath,35,Jumpstart,English
1,Plains,38,Jumpstart,English
1,Fortify,105,Jumpstart,English
1,"Lena, Selfless Champion",117,Jumpstart,English
1,Mentor of the Meek,121,Jumpstart,English
1,Raise the Alarm,129,Jumpstart,English
1,Basri's Solidarity,10,Core Set 2021,English
1,Daybreak Charger,14,Core Set 2021,English
1,Faith's Fetters,17,Core Set 2021,English
1,Legion's Judgment,24,Core Set 2021,English
1,Makeshift Battalion,26,Core Set 2021,English
1,Selfless Savior,36,Core Set 2021,English
1,Siege Striker,37,Core Set 2021,English
1,Valorous Steed,42,Core Set 2021,English
6,Plains,,Core Set 2021,English
