Count,Name,Card Number,Edition,Language
,Heavily Armored,18,Jumpstart Front Cards,English
1,Trusty Retriever,8,Jumpstart,English
1,Thriving Heath,35,Jumpstart,English
1,Plains,43,Jumpstart,English
1,Bulwark Giant,93,Jumpstart,English
1,Cathars' Crusade,95,Jumpstart,English
1,Lightwalker,118,Jumpstart,English
1,Patron of the Valiant,128,Jumpstart,English
1,Basri's Acolyte,8,Core Set 2021,English
1,Basri's Solidarity,10,Core Set 2021,English
1,Feat of Resistance,19,Core Set 2021,English
1,Makeshift Battalion,26,Core Set 2021,English
1,Secure the Scene,35,Core Set 2021,English
1,Siege Striker,37,Core Set 2021,English
1,Tempered Veteran,41,Core Set 2021,English
6,Plains,,Core Set 2021,English
