Count,Name,Card Number,Edition,Language
,Feathered Friends,15,Jumpstart Front Cards,English
1,Thriving Heath,35,Jumpstart,English
1,Plains,44,Jumpstart,English
1,Angel of the Dire Hour,85,Jumpstart,English
1,Dauntless Onslaught,99,Jumpstart,English
1,Healer's Hawk,107,Jumpstart,English
1,Sky Tether,133,Jumpstart,English
1,Take Heart,134,Jumpstart,English
1,Aven Gagglemaster,5,Core Set 2021,English
1,Celestial Enforcer,11,Core Set 2021,English
1,Concordia Pegasus,12,Core Set 2021,English
1,Falconer Adept,18,Core Set 2021,English
1,Gale Swooper,20,Core Set 2021,English
1,Swift Response,40,Core Set 2021,English
1,Warded Battlements,44,Core Set 2021,English
6,Plains,,Core Set 2021,English
